clause_id,clause_type,clause_text,risk_score,severity
1.1,Other,"1.1 ""Services"" means the hosted software platform offered by the Provider.",5,low
1.2,Other,"1.2 ""User Data"" means any data submitted or uploaded by Customer into the Services.",10,low
1.3,Confidentiality,"1.3 ""Confidential Information"" means all non-public information disclosed by one party to another.",40,medium
2.1,IP,"2.1 Provider grants Customer a non-exclusive, non-transferable right to access and use the Services.",10,low
2.2,IP,"2.2 Customer shall not modify, reverse-engineer, or create derivative works of the Services.",20,low
3.1,SLA,3.1 Provider shall use commercially reasonable efforts to ensure 99% uptime.,20,low
3.2,SLA,3.2 Scheduled maintenance will be notified 24 hours in advance.,10,low
4.1,Security,4.1 Customer is responsible for login confidentiality.,20,low
4.2,Other,4.2 Customer shall not upload harmful or unlawful data.,20,low
5.1,Data Protection,5.1 Provider will process User Data per applicable laws.,60,medium
5.2,Data Protection,5.2 Provider may store data on servers outside India.,80,high
5.3,Data Protection,5.3 Customer must obtain necessary consents from end-users.,60,medium
6.1,Confidentiality,6.1 Each party shall maintain confidentiality.,40,medium
6.2,Confidentiality,6.2 Exceptions apply where disclosure is required by law.,20,low
7.1,Payment,7.1 Customer shall pay subscription fees as scheduled.,10,low
7.2,Payment,7.2 Delayed payments beyond 15 days attract a 2% monthly penalty.,20,low
8.1,IP,8.1 All rights in the Services remain with the Provider.,10,low
8.2,IP,8.2 Customer receives no ownership rights.,10,low
9.1,Data Protection,9.1 Provider will implement reasonable safeguards.,60,medium
9.2,Liability,9.2 Provider is not liable for breaches caused by Customer negligence.,60,medium
10.1,Liability,10.1 Liability shall not exceed fees paid in the previous 3 months.,60,medium
10.2,Liability,10.2 No indirect or consequential damages apply.,60,medium
11.1,Termination,11.1 Either party may terminate with 30 days notice.,20,low
11.2,Termination,11.2 Provider may suspend access for breach.,60,medium
12,Governing Law,12. India.,5,low
13,Dispute Resolution,13. Arbitration in Bengaluru.,40,medium
14.1,Other,14.1 Amendments must be written.,10,low
14.2,Assignment,14.2 Assignment requires consent.,10,low
